Dataset|Representation Model|Similarity Metric|Duplicates Type|Domain|Valid Pairs|BF Pairs|Average Characters D1|Average Tokens D1|Average Characters D2|Average Tokens D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
DBLP-Scholar|TOKEN_TRIGRAMS_TF_IDF|COSINE_SIMILARITY|One-sided|Bibliographic|231654|154364148|121|21|110|20|0.002|0.975000024|0.642114401|0.774294674|0.249999836|24|0.827496052|0.685875237|0.750059247|0.249999836|103|0.85915494|0.872183681|0.865620255|0.099999845|1001|0.225781247|0.146849588|0.115909092|0.149999842|143355|0.860980809|0.874783337|0.867827237|0.099999845|60|0.911090732|0.861351848|0.885523438|0.049999844|33|0.890271008|0.868284225|0.879140198|0.099999845|45|0.86783576|0.879116118|0.87343955|0.099999845|27|Right
DBLP-Scholar|TOKEN_TRIGRAMS_TF_IDF|GENERALIZED_JACCARD_SIMILARITY|One-sided|Bibliographic|231654|154364148|121|21|110|20|0.002|0.980429292|0.672876954|0.798047245|0.149999842|22|0.850286901|0.706239164|0.771597624|0.149999842|81|0.873299301|0.88994801|0.881545067|0.049999844|1002|0.184|0.105182923|0.111910477|0.149999842|142788|0.873831749|0.891247809|0.882453859|0.049999844|56|0.923848629|0.877816319|0.900244415|0.049999844|35|0.90589273|0.892547667|0.899170637|0.049999844|57|0.881702125|0.89774698|0.889652193|0.049999844|37|Right
DBLP-Scholar|TOKEN_TRIGRAM_GRAPHS|GRAPH_OVERALL_SIMILARITY|One-sided|Bibliographic|22636|154364148|121|21|110|20|0|0.975705862|0.643847466|0.775776505|0.199999839|28|0.889131606|0.705372632|0.786663413|0.249999836|73|0.901988626|0.825389922|0.861990869|0.049999844|1049|0.952755928|0.061483741|0.112156861|0.099999845|144855|0.902876019|0.829722703|0.864755034|0.049999844|52|0.930386186|0.79332757|0.856407881|0.049999844|31|0.924302816|0.804159462|0.860055625|0.049999844|33|0.910807014|0.836221814|0.871922255|0.049999844|30|Right
DBLP-Scholar|TOKEN_TRIGRAM_GRAPHS|GRAPH_VALUE_SIMILARITY|One-sided|Bibliographic|22636|154364148|121|21|110|20|0|0.979460835|0.661178529|0.789446473|0.149999842|28|0.894188583|0.70667243|0.789448142|0.149999842|607|0.923786402|0.824523389|0.871336997|0.049999844|1133|0.882352948|0.030487806|0.107760355|0.099999845|146098|0.925048351|0.82885617|0.874314427|0.049999844|56|0.946473241|0.819757342|0.878569722|0.049999844|31|0.938326001|0.830589235|0.88117671|0.049999844|33|0.926982582|0.830589235|0.876142561|0.049999844|29|Right
Movies|CHARACTER_BIGRAMS|COSINE_SIMILARITY|Balanced|Movies|639653574|640170930|95|15|547|127|0.999|0.981851161|0.023662686|0.046211667|0.649999917|5152|0.421375602|0.072081529|0.123104505|0.599999905|8977|0.218442515|0.135940164|0.167587817|0.499999881|30155|0.277661234|0.092638761|0.138926238|0.549999893|130694|0.280629784|0.185539961|0.223386616|0.499999881|5949|0.923374116|0.062721431|0.117463961|0.499999881|15393|0.631214976|0.231553167|0.338815987|0.099999845|1270057|0.355676919|0.281984001|0.314572215|0.449999869|251945|Right
Movies|CHARACTER_BIGRAMS|ENHANCED_JACCARD_SIMILARITY|Balanced|Movies|639653574|640170930|95|15|547|127|0.999|0.974426806|0.048331365|0.092094846|0.449999869|3643|0.676767647|0.058609981|0.107877471|0.449999869|5043|0.170696601|0.103748411|0.129056826|0.249999836|28688|0.143743441|0.143900633|0.143821985|0.049999844|134425|0.369506955|0.12063159|0.18188414|0.349999845|5485|0.869872093|0.086252898|0.156943887|0.349999845|8448|0.583633065|0.19870533|0.296472728|0.099999845|910576|0.31447947|0.202816784|0.24659647|0.199999839|550655|Right
Movies|CHARACTER_BIGRAMS|GENERALIZED_JACCARD_SIMILARITY|Balanced|Movies|639653574|640170930|95|15|547|127|0.999|0.991869926|0.032016795|0.062031273|0.499999881|4744|0.381196171|0.071644142|0.120618552|0.449999869|14015|0.148143843|0.111358963|0.127144247|0.299999833|30995|0.222501218|0.120150462|0.156039655|0.349999845|135251|0.384676784|0.231903076|0.289363086|0.349999845|10596|0.959870875|0.091020428|0.166273817|0.349999845|60330|0.625212491|0.321698815|0.424813002|0.099999845|1133253|0.415610552|0.306958854|0.353115797|0.299999833|595192|Right
Movies|CHARACTER_BIGRAMS_TF_IDF|ARCS_SIMILARITY|Balanced|Movies|639653574|640170930|95|15|547|127|0.999|1|0.000481127|0.000961791|0.449999869|8049|0.072569348|0.022656694|0.034532182|0.299999833|95963|0.111082353|0.112627387|0.111849539|0.049999844|30206|0.157999307|0.159996495|0.158991635|0.049999844|132328|0.19876489|0.159077987|0.176720694|0.199999839|38395|0.976744175|0.003674058|0.007320581|0.149999842|551130|0.460122705|0.045925733|0.083515614|0.049999844|1080200|0.302011907|0.292831212|0.297350705|0.099999845|3853642|Right
Movies|CHARACTER_BIGRAMS_TF_IDF|COSINE_SIMILARITY|Balanced|Movies|639431359|640170930|95|15|547|127|0.999|0.972044706|0.106460221|0.191902876|0.499999881|4905|0.444569141|0.155928791|0.2308788|0.449999869|11469|0.321729243|0.247386605|0.279702276|0.349999845|27766|0.444504231|0.144512966|0.2181146|0.449999869|130695|0.4519611|0.294843197|0.356874377|0.399999857|5851|0.889255106|0.236014515|0.373025477|0.349999845|11513|0.652948081|0.340025365|0.447179973|0.099999845|787843|0.519874573|0.406158417|0.456034362|0.349999845|29521|Right
Movies|CHARACTER_BIGRAMS_TF_IDF|GENERALIZED_JACCARD_SIMILARITY|Balanced|Movies|639431359|640170930|95|15|547|127|0.999|0.972677588|0.038927525|0.074859113|0.449999869|5063|0.446354896|0.085159428|0.143030301|0.349999845|7922|0.257770091|0.137121111|0.179014996|0.249999836|26128|0.285027117|0.142544717|0.190045774|0.249999836|129474|0.421635062|0.244980976|0.309901237|0.249999836|6182|0.893598258|0.088527314|0.161095187|0.349999845|6070|0.669164956|0.304596961|0.418635398|0.099999845|666137|0.47376892|0.347592175|0.400988966|0.199999839|263998|Right
