classifier_name,accuracy
CNC,0.795698941
CNC,0.800000012
CNC,0.804597676
CNC,0.802197814
CNC,0.800000012
CNC,0.800000012
CNC,0.785714269
CNC,0.800000012
CNC,0.789473712
CNC,0.825581372
CNC,0.813186824
CNC,0.800000012
CNC,0.811764717
CNC,0.709677398
CNC,0.75999999
CNC,0.681159437
CNC,0.75999999
CNC,0.769230783
CNC,0.779999971
CNC,0.808510661
CNC,0.974576294
CNC,0.921428561
CNC,0.986666679
CNC,0.991071403
CNC,0.958041966
CNC,0.981566846
CNC,0.858823538
CNC,0.983805656
CNC,0.995670974
CNC,0.980000019
CNC,0.904411793
CNC,0.924528301
CNC,0.766009867
CNC,0.682692289
CNC,0.766990304
CNC,0.733788371
CNC,0.767726183
CNC,0.662500024
CNC,0.682692289
CNC,0.739495814
CNC,0.667832196
CNC,0.78231293
CNC,0.749391735
CNC,0.744471729
CNC,0.66051662
CNC,0.758823514
CNC,1
CNC,0.999508858
CNC,1
CNC,1
CNC,1
CNC,0.999508858
CNC,0.999285221
CNC,0.999504447
CNC,1
CNC,0.999487698
CNC,1
CNC,0.999507606
CNC,1
CNC,0.988120973
CNC,0.990445852
CNC,0.958984375
CNC,0.980000019
CNC,0.98941797
CNC,0.964236617
CNC,0.958984375
CNC,0.99922961
CNC,0.959183693
CNC,0.972881377
CNC,0.999182343
CNC,0.999252081
CNC,0.96449703
CNC,0.959706962
CNC,0.845018446
CNC,0.840867996
CNC,0.845303893
CNC,0.840867996
CNC,0.801038086
CNC,0.845018446
CNC,0.709677398
CNC,0.807465613
CNC,0.843462229
CNC,0.848428845
CNC,0.845018446
CNC,0.563106775
CNC,0.524390221
CNC,0.428571433
CNC,0.558730185
CNC,0.875
CNC,0.524390221
CNC,0.529940128
CNC,0.366568923
CNC,0.428571433
CNC,0.517341018
CNC,0.562318861
CNC,0.602112651
CNC,0.559006214
CNC,0.388489217
CNC,0.541871905
CNC,0.841772139
CNC,0.836619735
CNC,0.836619735
CNC,0.840513289
CNC,0.841772139
CNC,0.825888813
CNC,0.8291592
CNC,0.836752892
CNC,0.835916162
CNC,0.841011763
CNC,0.838411808
CNC,0.960784316
CNC,0.967426717
CNC,0.961873651
CNC,0.960784316
CNC,0.963091135
CNC,0.967391312
CNC,0.959677398
CNC,0.967032969
CNC,0.947245002
CNC,0.967497289
CNC,0.965591371
CNC,0.967426717
CNC,0.966442943
CNC,0.98888886
CNC,0.987096786
CNC,0.988938034
CNC,0.98888886
CNC,0.978365362
CNC,0.987068951
CNC,0.968599021
CNC,0.989059091
CNC,0.931350112
CNC,0.987012982
CNC,0.984913766
CNC,0.987096786
CNC,0.988814294
CNC,0.757719696
CNC,0.761682272
CNC,0.757719696
CNC,0.761229336
CNC,0.761682272
CNC,0.744827569
CNC,0.744292259
CNC,0.758373201
CNC,0.753424644
CNC,0.736607134
CNC,0.758700669
CNC,0.764423072
CNC,0.656410277
CNC,0.662944138
CNC,0.657786906
CNC,0.657814085
CNC,0.633958101
CNC,0.662944138
CNC,0.618085086
CNC,0.667351127
CNC,0.669683278
CNC,0.656822801
CNC,0.653731346
CNC,0.663627148
CNC,0.656701028
CNC,0.628820956
CNC,0.633116901
CNC,0.620842576
CNC,0.632034659
CNC,0.641255617
CNC,0.635164857
CNC,0.629912674
CNC,0.630363047
CNC,0.64459163
CNC,0.636069119
CNC,0.634173036
CNC,0.634763479
CNC,0.634955764
CNC,0.986449838
CNC,0.967086852
CNC,0.981778443
CNC,0.962577939
CNC,0.983587325
CNC,0.986449838
CNC,0.985207081
CNC,0.980187118
CNC,0.94762367
CNC,0.984182775
CNC,0.986346245
CNC,0.984307349
CNC,0.971004248
CNC,0.826923072
CNC,0.819484234
CNC,0.584615409
CNC,0.833333313
CNC,0.884469688
CNC,0.90427351
CNC,0.889483094
CNC,0.984557331
CNC,0.986971736
CNC,0.995925009
CNC,0.984399021
CNC,0.98739332
CNC,0.986977935
CNC,0.990559101
CNC,0.844931245
CNC,0.981865287
CNC,0.987441301
CNC,0.990080595
CNC,0.983743906
CNC,0.983954966
CNC,0.758241773
CNC,0.780952394
CNC,0.798076928
CNC,0.732673287
CNC,0.730000019
CNC,0.702702701
CNC,0.75
CNC,0.651162803
CNC,0.781609178
CNC,0.775700927
CNC,0.791666687
CNC,0.66355139
CNC,0.611940324
CNC,0.689075649
CNC,0.727272749
CNC,0.806818187
CNC,0.807692289
CNC,0.759615362
CNC,0.797752798
CNC,0.622047246
CNC,0.673267305
CNC,0.661290348
CNC,0.785714269
CNC,0.686274529
CNC,0.772727251
CNC,0.754237294
CNC,0.787037015
CNC,0.752136767
CNC,0.677966118
CNC,0.787037015
CNC,0.628787875
CNC,0.51968503
CNC,0.800000012
CNC,0.623931646
CNC,0.774193525
CNC,0.524822712
CNC,0.65289259
CNC,0.657894731
CNC,0.768421054
CNC,0.528571427
CNC,0.826086938
CNC,0.615384638
CNC,0.800000012
CNC,0.562043786
CNC,0.561151087
CNC,0.562043786
