classifier_name,accuracy
CNC,0.831460655
CNC,0.76404494
CNC,0.786516845
CNC,0.820224702
CNC,0.76404494
CNC,0.76404494
CNC,0.741573036
CNC,0.76404494
CNC,0.842696607
CNC,0.797752798
CNC,0.831460655
CNC,0.76404494
CNC,0.775280893
CNC,0.247191012
CNC,0.853932559
CNC,0.528089881
CNC,0.853932559
CNC,0.898876429
CNC,0.876404524
CNC,0.42696628
CNC,0.213754654
CNC,0.119888477
CNC,0.068773232
CNC,0.206319705
CNC,0.127323419
CNC,0.197955385
CNC,0.067843869
CNC,0.225836426
CNC,0.213754654
CNC,0.227695167
CNC,0.114312269
CNC,0.091078065
CNC,0.281702906
CNC,0.192934781
CNC,0.286231875
CNC,0.194746375
CNC,0.284420282
CNC,0.144021735
CNC,0.192934781
CNC,0.239130437
CNC,0.17300725
CNC,0.3125
CNC,0.2789855
CNC,0.274456531
CNC,0.162137687
CNC,0.233695656
CNC,0.416816533
CNC,0.915017962
CNC,0.405125886
CNC,0.416366905
CNC,0.827338159
CNC,0.915017962
CNC,0.62859714
CNC,0.906924486
CNC,0.399730206
CNC,0.877248228
CNC,0.904676259
CNC,0.912769794
CNC,0.415917277
CNC,0.411420852
CNC,0.419514388
CNC,0.220773384
CNC,0.330485612
CNC,0.420413673
CNC,0.315197855
CNC,0.220773384
CNC,0.583183467
CNC,0.211330935
CNC,0.258093536
CNC,0.549460411
CNC,0.600719452
CNC,0.293165475
CNC,0.235611513
CNC,0.536928475
CNC,0.545134842
CNC,0.538100839
CNC,0.545134842
CNC,0.542790174
CNC,0.536928475
CNC,0.025791325
CNC,0.481828839
CNC,0.536928475
CNC,0.538100839
CNC,0.536928475
CNC,0.203985929
CNC,0.201641262
CNC,0.144196957
CNC,0.206330597
CNC,0.041031651
CNC,0.201641262
CNC,0.207502931
CNC,0.146541625
CNC,0.144196957
CNC,0.209847599
CNC,0.227432594
CNC,0.200468928
CNC,0.211019933
CNC,0.126611963
CNC,0.128956631
CNC,0.473069102
CNC,0.452743888
CNC,0.452743888
CNC,0.465955287
CNC,0.473069102
CNC,0.460365862
CNC,0.471036583
CNC,0.476626009
CNC,0.465955287
CNC,0.473069102
CNC,0.461382121
CNC,0.448170722
CNC,0.452743888
CNC,0.448678851
CNC,0.448170722
CNC,0.42428863
CNC,0.452235758
CNC,0.423272371
CNC,0.447154462
CNC,0.410569102
CNC,0.453760177
CNC,0.456300825
CNC,0.452743888
CNC,0.439024389
CNC,0.415111929
CNC,0.428171635
CNC,0.416977614
CNC,0.415111929
CNC,0.379664183
CNC,0.427238792
CNC,0.374067158
CNC,0.421641797
CNC,0.379664183
CNC,0.425373137
CNC,0.426305979
CNC,0.428171635
CNC,0.412313432
CNC,0.297574639
CNC,0.304104477
CNC,0.297574639
CNC,0.300373137
CNC,0.304104477
CNC,0.302238792
CNC,0.304104477
CNC,0.295708954
CNC,0.307835817
CNC,0.307835817
CNC,0.30503732
CNC,0.296641797
CNC,0.584474862
CNC,0.596347034
CNC,0.586301386
CNC,0.588127851
CNC,0.525114179
CNC,0.596347034
CNC,0.530593634
CNC,0.593607306
CNC,0.540639281
CNC,0.589041114
CNC,0.600000024
CNC,0.598173499
CNC,0.581735134
CNC,0.526027381
CNC,0.534246564
CNC,0.511415541
CNC,0.533333361
CNC,0.522374451
CNC,0.527853906
CNC,0.526940644
CNC,0.523287654
CNC,0.533333361
CNC,0.537899554
CNC,0.528767109
CNC,0.526940644
CNC,0.524200916
CNC,0.788561523
CNC,0.598353565
CNC,0.583622158
CNC,0.601819754
CNC,0.727036417
CNC,0.788561523
CNC,0.577123046
CNC,0.771663785
CNC,0.42331022
CNC,0.727902949
CNC,0.782495677
CNC,0.788128257
CNC,0.594887376
CNC,0.093154244
CNC,0.123916812
CNC,0.082322359
CNC,0.093154244
CNC,0.202339694
CNC,0.229202777
CNC,0.216204509
CNC,0.365306377
CNC,0.271705389
CNC,0.160346419
CNC,0.3643004
CNC,0.328871965
CNC,0.271836579
CNC,0.293706
CNC,0.086034201
CNC,0.248655036
CNC,0.36797446
CNC,0.419105113
CNC,0.256746709
CNC,0.305777907
CNC,0.775280893
CNC,0.921348333
CNC,0.932584286
CNC,0.831460655
CNC,0.820224702
CNC,0.876404524
CNC,0.606741548
CNC,0.314606756
CNC,0.76404494
CNC,0.932584286
CNC,0.853932559
CNC,0.797752798
CNC,0.921348333
CNC,0.921348333
CNC,0.359550565
CNC,0.797752798
CNC,0.707865179
CNC,0.887640476
CNC,0.797752798
CNC,0.887640476
CNC,0.76404494
CNC,0.921348333
CNC,0.494382024
CNC,0.786516845
CNC,0.95505619
CNC,1
CNC,0.95505619
CNC,0.988764048
CNC,0.898876429
CNC,0.95505619
CNC,0.932584286
CNC,0.741573036
CNC,0.719101131
CNC,0.820224702
CNC,0.80898875
CNC,0.831460655
CNC,0.887640476
CNC,0.842696607
CNC,0.820224702
CNC,0.831460655
CNC,0.21348314
CNC,0.449438214
CNC,0.269662917
CNC,0.865168512
CNC,0.876404524
CNC,0.865168512
CNC,0.157063201
CNC,0.045539033
CNC,0.115241639
CNC,0.02881041
CNC,0.410780668
CNC,0.201672867
CNC,0.185873613
CNC,0.087360598
CNC,0.208178446
CNC,0.102230482
CNC,0.151486993
CNC,0.337360591
CNC,0.426579922
CNC,0.236059487
CNC,0.160780668
CNC,0.162639409
CNC,0.172862455
CNC,0.100371748
CNC,0.210037172
CNC,0.112453535
CNC,0.144981414
CNC,0.37918216
CNC,0.358736068
CNC,0.213754654
CNC,0.146840155
CNC,0.100371748
CNC,0.218401492
CNC,0.113382898
CNC,0.145910785
CNC,0.430297405
CNC,0.351301104
CNC,0.230483279
CNC,0.145910785
CNC,0.090148702
CNC,0.161710039
CNC,0.115241639
CNC,0.138475835
CNC,0.299256504
CNC,0.247211903
CNC,0.174721196
CNC,0.098513015
CNC,0.141263947
CNC,0.113382898
CNC,0.113382898
CNC,0.237918213
CNC,0.193308547
CNC,0.142193303
CNC,0.104166664
CNC,0.104166664
CNC,0.138586953
CNC,0.009963769
CNC,0.172101453
CNC,0.166666672
CNC,0.122282609
CNC,0.096014492
CNC,0.13949275
CNC,0.107789852
CNC,0.152173907
CNC,0.145833328
CNC,0.160326093
CNC,0.056159422
CNC,0.218297094
CNC,0.176630437
CNC,0.122282609
CNC,0.097826086
CNC,0.121376812
CNC,0.128623188
CNC,0.178442031
CNC,0.115942031
CNC,0.236413047
CNC,0.182065219
CNC,0.095108695
CNC,0.094202898
CNC,0.11050725
CNC,0.138586953
CNC,0.159420297
CNC,0.144021735
CNC,0.156702906
CNC,0.144927531
CNC,0.23822464
CNC,0.190217391
CNC,0.17300725
CNC,0.159420297
CNC,0.162137687
CNC,0.140398547
CNC,0.194746375
CNC,0.169384062
CNC,0.152173907
CNC,0.258152187
CNC,0.254528999
CNC,0.169384062
CNC,0.174818844
CNC,0.1539855
CNC,0.192028984
CNC,0.181159422
CNC,0.156702906
CNC,0.221920297
CNC,0.237318844
CNC,0.185688406
CNC,0.144927531
CNC,0.839478433
CNC,0.447392076
CNC,0.901528776
CNC,0.85836333
CNC,0.873651087
CNC,0.888039589
CNC,0.656025171
CNC,0.864658296
CNC,0.857014418
CNC,0.884442449
CNC,0.885791361
CNC,0.723471224
CNC,0.884442449
CNC,0.85296762
CNC,0.883543193
CNC,0.669964015
CNC,0.83812952
CNC,0.819244623
CNC,0.789568365
CNC,0.780125916
CNC,0.877697825
CNC,0.824640274
CNC,0.683003604
CNC,0.743705034
CNC,0.288393915
CNC,0.253223926
CNC,0.246189922
CNC,0.15826495
CNC,0.468933165
CNC,0.329425544
CNC,0.295427889
CNC,0.291910917
CNC,0.294255555
CNC,0.25439626
CNC,0.339976549
CNC,0.280187577
CNC,0.26611957
CNC,0.314185232
CNC,0.479484171
CNC,0.348182887
CNC,0.263774902
CNC,0.257913262
CNC,0.26611957
CNC,0.239155918
CNC,0.332942545
CNC,0.279015243
CNC,0.259085566
CNC,0.411488861
CNC,0.443141848
CNC,0.320046902
CNC,0.241500586
CNC,0.211019933
CNC,0.194607273
CNC,0.221570924
CNC,0.208675265
CNC,0.588511109
CNC,0.539273143
CNC,0.395076215
CNC,0.138335288
CNC,0.143024623
CNC,0.154747948
CNC,0.120750293
CNC,0.144196957
CNC,0.134818286
CNC,0.134818286
CNC,0.389214545
CNC,0.32825321
CNC,0.243845254
CNC,0.252051592
CNC,0.198124275
CNC,0.146541625
CNC,0.254065037
CNC,0.347560972
CNC,0.253048778
CNC,0.011178861
CNC,0.526930869
CNC,0.420731694
CNC,0.647357702
CNC,0.663617909
CNC,0.682418704
CNC,0.27540651
CNC,0.335365862
CNC,0.434959352
CNC,0.277439028
CNC,0.243394315
CNC,0.653455257
CNC,0.491361797
CNC,0.627032518
CNC,0.282520324
CNC,0.428353667
CNC,0.464939028
CNC,0.284044713
CNC,0.55030489
CNC,0.680894315
CNC,0.492378056
CNC,0.604166687
CNC,0.294207305
CNC,0.241361782
CNC,0.269308954
CNC,0.254065037
CNC,0.602134168
CNC,0.688516259
CNC,0.5
CNC,0.484247953
CNC,0.224085361
CNC,0.260162592
CNC,0.278963417
CNC,0.232215449
CNC,0.668191075
CNC,0.643292665
CNC,0.557926834
CNC,0.122967482
CNC,0.131605685
CNC,0.167682931
CNC,0.196138218
CNC,0.145833328
CNC,0.316056907
CNC,0.197662607
CNC,0.173780486
CNC,0.125932842
CNC,0.104477614
CNC,0.081156716
CNC,0.291044772
CNC,0.229477614
CNC,0.214552239
CNC,0.225746274
CNC,0.247201487
CNC,0.137126863
CNC,0.172574624
CNC,0.170708954
CNC,0.116604477
CNC,0.158582091
CNC,0.356343269
CNC,0.267723888
CNC,0.309701502
CNC,0.311567158
CNC,0.291044772
CNC,0.18376866
CNC,0.259328365
CNC,0.223880604
CNC,0.149253726
CNC,0.350746274
CNC,0.362873137
CNC,0.269589543
CNC,0.347947747
CNC,0.221082091
CNC,0.140858203
CNC,0.163246274
CNC,0.106343284
CNC,0.448694021
CNC,0.361007452
CNC,0.208022386
CNC,0.406716406
CNC,0.432835817
CNC,0.414179116
CNC,0.276119411
CNC,0.38246268
CNC,0.346082091
CNC,0.303171635
CNC,0.606343269
CNC,0.513992548
CNC,0.351679116
CNC,0.206156716
CNC,0.154850751
CNC,0.581735134
CNC,0.717808247
CNC,0.666666687
CNC,0.093150683
CNC,0.690410972
CNC,0.710502267
CNC,0.520547926
CNC,0.539726019
CNC,0.711415529
CNC,0.711415529
CNC,0.711415529
CNC,0.718721449
CNC,0.712328792
CNC,0.19178082
CNC,0.706849337
CNC,0.711415529
CNC,0.710502267
CNC,0.718721449
CNC,0.705936074
CNC,0.715068519
CNC,0.400000006
CNC,0.709589064
CNC,0.706849337
CNC,0.693150699
CNC,0.629223764
CNC,0.710502267
CNC,0.695890427
CNC,0.488584489
CNC,0.708675802
CNC,0.713241994
CNC,0.704109609
CNC,0.698630154
CNC,0.676712334
CNC,0.691324174
CNC,0.460273981
CNC,0.685844719
CNC,0.547945201
CNC,0.568949759
CNC,0.568036556
CNC,0.412785381
CNC,0.590867579
CNC,0.550684929
CNC,0.672443688
CNC,0.684142113
CNC,0.660311937
CNC,0.292027742
CNC,0.641247809
CNC,0.704072773
CNC,0.624783337
CNC,0.634315431
CNC,0.718804181
CNC,0.676343143
CNC,0.713171601
CNC,0.685008645
CNC,0.602686286
CNC,0.722703636
CNC,0.689774692
CNC,0.676776409
CNC,0.7144714
CNC,0.720970511
CNC,0.67331022
CNC,0.626516461
CNC,0.738301575
CNC,0.739168108
CNC,0.659445405
CNC,0.668110907
CNC,0.700606585
CNC,0.528596163
CNC,0.712305009
CNC,0.719237447
CNC,0.574956656
CNC,0.607885599
CNC,0.618717492
CNC,0.676343143
CNC,0.653812826
CNC,0.707539022
CNC,0.747400343
CNC,0.733102262
