Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
DBLP-ACM|Title|FastText|Cosine Similarity|Balanced|6001104|56|8|1|57|8|1|1|1.000|0.910|0.953|0.950|36|0.975|0.938|0.956||515|0.970|0.909|0.939|0.900|177|0.972|0.908|0.939|0.900|2049|0.975|0.967|0.971|0.900|57|0.996|0.942|0.968|0.900|43|0.988|0.966|0.977|0.800|521|0.971|0.977|0.974|0.800|167|Left
DBLP-ACM|Title|FastText|Euclidean Distance|Balanced|6001104|56|8|1|57|8|1|1|1.000|0.914|0.955|0.600|34|0.974|0.936|0.955|0.550|61|0.964|0.902|0.932|0.500|148|0.977|0.909|0.942|0.450|2027|0.979|0.959|0.969|0.550|39|0.997|0.941|0.968|0.550|40|0.988|0.965|0.976|0.350|2070|0.976|0.973|0.975|0.450|81|Right
DBLP-ACM|Title|FastText|WMD|Balanced|6001104|56|8|1|57|8|1|1|0.000|0.000|0.000|0.000|1085|0.233|0.148|0.181|0.950|1489|0.784|0.809|0.796|0.900|156|0.839|0.864|0.851|0.650|2045|0.786|0.809|0.797|0.950|962|0.983|0.785|0.873|0.950|1474|0.969|0.900|0.933|0.950|3791|0.887|0.915|0.900|0.900|9288|Left
DBLP-ACM|Title|Albert|Cosine Similarity|Balanced|5935306|56|8|1|57|8|1|0.99|0.997|0.159|0.274|0.950|71|0.319|0.205|0.250|0.950|372|0.853|0.820|0.836|0.950|156|0.853|0.874|0.863|0.450|2045|0.895|0.875|0.885|0.950|80|0.989|0.846|0.912|0.950|71|0.981|0.918|0.948|0.950|445|0.956|0.929|0.942|0.950|115|Left
DBLP-ACM|Title|Albert|Euclidean Distance|Balanced|6001104|56|8|1|57|8|1|1|0.999|0.866|0.928|0.150|34|0.975|0.880|0.925|0.150|58|0.949|0.796|0.866|0.100|139|0.978|0.842|0.905|0.150|2021|0.970|0.904|0.936|0.100|63|0.995|0.887|0.938|0.100|47|0.979|0.919|0.948|0.050|2230|0.975|0.909|0.941|0.100|83|Left
DBLP-ACM|Title|Albert|WMD|Balanced|6001104|56|8|1|57|8|1|1|0.999|0.725|0.841|0.950|35|0.923|0.798|0.856|0.950|121|0.963|0.757|0.847|0.950|170|0.967|0.827|0.892|0.950|2159|0.974|0.879|0.924|0.950|61|0.995|0.857|0.921|0.950|48|0.990|0.877|0.930|0.950|375|0.978|0.882|0.927|0.950|71|Left
DBLP-ACM|Authors|FastText|Cosine Similarity|Balanced|6001104|47|10|1|47|10|1|1|0.994|0.530|0.691|0.950|35|0.806|0.652|0.721|0.950|86|0.791|0.674|0.728|0.900|157|0.815|0.723|0.766|0.900|2063|0.818|0.753|0.784|0.900|57|0.964|0.630|0.762|0.900|43|0.903|0.728|0.806|0.700|978|0.844|0.777|0.809|0.900|63|Left
DBLP-ACM|Authors|FastText|Euclidean Distance|Balanced|6001104|47|10|1|47|10|1|1|0.995|0.525|0.687|0.600|57|0.813|0.623|0.706|0.550|94|0.774|0.645|0.704|0.500|133|0.824|0.704|0.759|0.450|2059|0.798|0.726|0.760|0.500|61|0.968|0.620|0.756|0.500|45|0.900|0.720|0.800|0.250|3328|0.817|0.777|0.796|0.450|108|Left
DBLP-ACM|Authors|FastText|WMD|Balanced|6001104|47|10|1|47|10|1|1|0.000|0.000|0.000|0.000|994|0.152|0.107|0.125|0.950|1384|0.358|0.369|0.363|0.950|154|0.456|0.470|0.463|0.800|2036|0.360|0.371|0.366|0.900|1037|0.815|0.318|0.457|0.900|1551|0.715|0.473|0.569|0.950|3496|0.503|0.519|0.511|0.900|9578|Left
DBLP-ACM|Authors|Albert|Cosine Similarity|Balanced|5971076|47|10|1|47|10|1|0.99|0.911|0.018|0.036|0.950|74|0.083|0.052|0.064|0.950|408|0.289|0.248|0.267|0.950|160|0.328|0.337|0.332|0.550|2310|0.315|0.279|0.296|0.950|76|0.705|0.228|0.344|0.950|83|0.582|0.335|0.426|0.950|346|0.435|0.374|0.402|0.950|116|Left
DBLP-ACM|Authors|Albert|Euclidean Distance|Balanced|6001104|47|10|1|47|10|1|1|0.968|0.219|0.357|0.150|34|0.760|0.259|0.386|0.150|57|0.573|0.204|0.301|0.100|132|0.665|0.306|0.419|0.100|2015|0.613|0.292|0.396|0.100|61|0.826|0.263|0.399|0.100|44|0.752|0.299|0.427|0.100|313|0.679|0.324|0.438|0.100|67|Left
