Dataset|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|BF Pairs|Domain|Average Characters D1|Average Tokens D1|Average Characters D2|Average Tokens D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
IMDB-TMDB|FastText|Cosine Similarity|Scarce|30280972|30994608|Movies|49|9|114|24|0.98|0.861019731|0.532012224|0.657663345|0.849999964|195|0.759972513|0.561483741|0.645821214|0.849999964|269|0.756294072|0.381605685|0.507261038|0.849999964|716|0.727920234|0.259654462|0.382771552|0.849999964|2845|0.78749162|0.595020354|0.677858174|0.849999964|217|0.827980042|0.589430869|0.688631654|0.849999964|233|0.717083812|0.669715464|0.692590594|0.799999952|1239|0.799731195|0.604674816|0.688657403|0.849999964|314|Right
IMDB-TMDB|FastText|Euclidean Distance|Scarce|30994608|30994608|Movies|49|9|114|24|1|0.867469907|0.292682916|0.43768996|0.499999881|203|0.742696643|0.335873991|0.46256125|0.549999893|292|0.490209788|0.356199175|0.412595659|0.449999869|685|0.526520073|0.20680894|0.296971917|0.499999881|2835|0.588465869|0.534044743|0.559936047|0.449999869|243|0.76720351|0.532520354|0.628674269|0.399999857|801|0.679873228|0.653963387|0.666666687|0.399999857|2425|0.663626015|0.591463387|0.625470161|0.449999869|568|Right
IMDB-TVDB|FastText|Cosine Similarity|Scarce|39651396|39971580|Movies|49|9|94|18|0.99|0.74494952|0.275186568|0.401907355|0.849999964|249|0.399339944|0.338619411|0.366481572|0.849999964|330|0.404227227|0.285447747|0.334609061|0.849999964|778|0.29831934|0.13246268|0.18346253|0.849999964|3276|0.470334411|0.406716406|0.436218083|0.849999964|369|0.561752975|0.394589543|0.463561624|0.849999964|277|0.548199773|0.440298498|0.488360077|0.849999964|1791|0.528961778|0.451492548|0.487166584|0.849999964|449|Left
IMDB-TVDB|FastText|Euclidean Distance|Scarce|39971580|39971580|Movies|49|9|94|18|1|0.574999988|0.06436567|0.115771808|0.399999857|723|0.334801763|0.070895523|0.117013089|0.449999869|313|0.115676798|0.3125|0.168850809|0.349999845|854|0.067765571|0.138059705|0.090909101|0.299999833|3059|0.122948185|0.356343269|0.18281886|0.349999845|951|0.421232879|0.229477614|0.297101468|0.349999845|1829|0.326342285|0.362873137|0.343639582|0.349999845|5335|0.170040488|0.470149249|0.249752223|0.349999845|7353|Right
TMDB-TVDB|FastText|Cosine Similarity|Scarce|45903992|47297360|Movies|114|24|94|18|0.97|0.657227993|0.402739733|0.499433726|0.949999988|311|0.414568335|0.421004564|0.417761654|0.949999988|443|0.408207357|0.345205486|0.374072254|0.949999988|1288|0.239583328|0.147031963|0.182229787|0.949999988|3199|0.459922165|0.539726019|0.496638626|0.949999988|306|0.55737704|0.683105052|0.613869548|0.849999964|774|0.503726721|0.740639269|0.599630356|0.849999964|2710|0.501187623|0.578082204|0.536895633|0.949999988|462|Right
TMDB-TVDB|FastText|Euclidean Distance|Scarce|47297360|47297360|Movies|114|24|94|18|1|0.602296472|0.526940644|0.562104225|0.74999994|310|0.630804062|0.508675814|0.563195169|0.849999964|366|0.620632291|0.340639263|0.439858496|0.849999964|1045|0.525073767|0.16255708|0.248256624|0.74999994|3142|0.607717037|0.517808199|0.559171617|0.849999964|314|0.588686466|0.560730577|0.574368596|0.599999905|468|0.609677434|0.517808199|0.560000002|0.849999964|1802|0.608788848|0.518721461|0.560157776|0.849999964|457|Right
TMDB-TVDB|FastText|WMD|Scarce|47297360|47297360|Movies|114|24|94|18|1|0|0|0|0|9389|0.008608972|0.017351598|0.011508177|0.949999988|3382|0.04098526|0.185388133|0.067129627|0.949999988|1346|0.04331059|0.13333334|0.06538289|0.949999988|3530|0.0627027|0.317808211|0.104740396|0.949999988|13004|0.355612695|0.378995448|0.366931915|0.949999988|12952|0.258817911|0.495890409|0.340119034|0.949999988|26403|0.10612797|0.501369834|0.175175488|0.949999988|73832|Left
TMDB-TVDB|Albert|Cosine Similarity|Scarce|47139111|47297360|Movies|114|24|94|18|1|0.53061223|0.16621004|0.253129333|0.949999988|306|0.238773271|0.199086756|0.217131481|0.949999988|778|0.248348743|0.171689495|0.203023776|0.949999988|1306|0.149122804|0.077625573|0.102102108|0.949999988|3595|0.291411042|0.260273963|0.274963826|0.949999988|299|0.446808517|0.249315068|0.320046902|0.949999988|397|0.366214544|0.271232873|0.311647415|0.949999988|1851|0.310629517|0.274885833|0.291666657|0.949999988|566|Right
TMDB-TVDB|Albert|Euclidean Distance|Scarce|47297360|47297360|Movies|114|24|94|18|1|0.641148329|0.12237443|0.205521479|0.099999845|305|0.536000013|0.12237443|0.199256524|0.099999845|370|0.121264368|0.192694068|0.148853615|0.049999844|1138|0.065372169|0.092237443|0.076515153|0.049999844|3118|0.531496048|0.12328767|0.200148255|0.099999845|444|0.417518258|0.261187226|0.321348339|0.049999844|388|0.288121313|0.312328756|0.299737096|0.049999844|2014|0.192021281|0.329680353|0.242689088|0.049999844|615|Left
DBLP-Scholar|FastText|Cosine Similarity|One-sided|154364148|154364148|Bibliographic|121|21|110|20|1|0.962716401|0.313258231|0.472703516|0.899999976|1100|0.836755633|0.353119582|0.496648371|0.899999976|1384|0.687912107|0.678076267|0.682958782|0.849999964|2287|0.256938934|0.140381277|0.181563452|0.849999964|146283|0.689640045|0.680675924|0.685128629|0.849999964|1458|0.907100201|0.592287719|0.716644764|0.799999952|16429|0.785609424|0.695407271|0.737761497|0.799999952|33376|0.710630774|0.698006928|0.704262257|0.849999964|3586|Right
DBLP-Scholar|FastText|Euclidean Distance|One-sided|154364148|154364148|Bibliographic|121|21|110|20|1|0.970588207|0.228769496|0.370266467|0.549999893|991|0.819999993|0.284228772|0.422136426|0.549999893|1321|0.659652352|0.624783337|0.641744494|0.499999881|1799|0.201929256|0.136048526|0.162567958|0.449999869|150925|0.660885453|0.627382994|0.643698573|0.499999881|1257|0.914133728|0.521230519|0.66390729|0.449999869|32055|0.761712849|0.655112624|0.704402447|0.449999869|59005|0.684622467|0.644280791|0.66383934|0.499999881|6068|Right
